RegionName,State,City,EndMonth,MedianHomeValue
Navy Yard,DC,Washington,2023-09-30,686508.3098343314
NoMa,DC,Washington,2023-09-30,505974.2610557072
Anacostia,DC,Washington,2023-09-30,400715.0596361736
Columbia Heights,DC,Washington,2023-10-31,648536.8830503513
Capitol Hill,DC,Washington,2023-10-31,925590.1465340698
Petworth,DC,Washington,2023-10-31,688739.5402
Adams Morgan,DC,Washington,2023-10-31,582800.382
Shaw,DC,Washington,2023-10-31,797824.633
Navy Yard,DC,Washington,2023-10-31,686922.3217317732
NoMa,DC,Washington,2023-10-31,502665.9896053623
Anacostia,DC,Washington,2023-10-31,398500.8328426249
Columbia Heights,DC,Washington,2023-11-30,647637.3612867935
Capitol Hill,DC,Washington,2023-11-30,921434.60518996
Petworth,DC,Washington,2023-11-30,686256.5058191492
Adams Morgan,DC,Washington,2023-11-30,582989.9304023565
Shaw,DC,Washington,2023-11-30,795621.3075417412
Navy Yard,DC,Washington,2023-11-30,684222.2604712025
NoMa,DC,Washington,2023-11-30,497801.83963856025
Anacostia,DC,Washington,2023-11-30,396086.2053890326
Columbia Heights,DC,Washington,2023-12-31,646032.7972301379
Capitol Hill,DC,Washington,2023-12-31,917633.8481194234
Petworth,DC,Washington,2023-12-31,683272.6141761413
Adams Morgan,DC,Washington,2023-12-31,582018.6396778208
Shaw,DC,Washington,2023-12-31,792331.5662938709
Navy Yard,DC,Washington,2023-12-31,679209.8522397749
NoMa,DC,Washington,2023-12-31,491062.8292525784
Anacostia,DC,Washington,2023-12-31,394302.07827809546
Columbia Heights,DC,Washington,2024-01-31,644170.0479832211
Capitol Hill,DC,Washington,2024-01-31,913032.4446157352
Petworth,DC,Washington,2024-01-31,679801.1203328143
Adams Morgan,DC,Washington,2024-01-31,581187.4075897237
Shaw,DC,Washington,2024-01-31,789753.5194926308
Navy Yard,DC,Washington,2024-01-31,675388.1906913487
NoMa,DC,Washington,2024-01-31,485113.3505295876
Anacostia,DC,Washington,2024-01-31,392838.8620028211
Columbia Heights,DC,Washington,2024-02-29,644019.0644236291
Capitol Hill,DC,Washington,2024-02-29,910925.9613
Petworth,DC,Washington,2024-02-29,678476.0870426596
Adams Morgan,DC,Washington,2024-02-29,581224.9316154746
Shaw,DC,Washington,2024-02-29,789798.7880720003
Navy Yard,DC,Washington,2024-02-29,673840.8050945165
NoMa,DC,Washington,2024-02-29,482539.75414772384
Anacostia,DC,Washington,2024-02-29,392657.6899647179
Columbia Heights,DC,Washington,2024-03-31,644743.6896523961
Capitol Hill,DC,Washington,2024-03-31,910974.6203
Petworth,DC,Washington,2024-03-31,679018.3699199151
Adams Morgan,DC,Washington,2024-03-31,582268.7665635595
Shaw,DC,Washington,2024-03-31,791519.1120305861
Navy Yard,DC,Washington,2024-03-31,674861.3000878526
NoMa,DC,Washington,2024-03-31,480954.59842844354
Anacostia,DC,Washington,2024-03-31,393039.20044829906
Columbia Heights,DC,Washington,2024-04-30,645270.3094804583
Capitol Hill,DC,Washington,2024-04-30,911809.0444453644
Petworth,DC,Washington,2024-04-30,679949.4209189509
Adams Morgan,DC,Washington,2024-04-30,583166.1239880668
Shaw,DC,Washington,2024-04-30,793128.6190881053
Navy Yard,DC,Washington,2024-04-30,676913.4331503606
NoMa,DC,Washington,2024-04-30,480178.15452157333
Anacostia,DC,Washington,2024-04-30,393876.97409307613
Columbia Heights,DC,Washington,2024-05-31,643357.8819
Capitol Hill,DC,Washington,2024-05-31,910670.8446424037
Petworth,DC,Washington,2024-05-31,679388.1554126982
Adams Morgan,DC,Washington,2024-05-31,583306.0664140753
Shaw,DC,Washington,2024-05-31,791712.1064237036
Navy Yard,DC,Washington,2024-05-31,677049.2527510627
NoMa,DC,Washington,2024-05-31,478563.0101101855
Anacostia,DC,Washington,2024-05-31,393404.72020954825
Columbia Heights,DC,Washington,2024-06-30,638786.0795289055
Capitol Hill,DC,Washington,2024-06-30,906407.4781264308
Petworth,DC,Washington,2024-06-30,675121.8824848764
Adams Morgan,DC,Washington,2024-06-30,581452.2812087898
Shaw,DC,Washington,2024-06-30,787088.6742
Navy Yard,DC,Washington,2024-06-30,674911.1195937508
