,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
334,THEFT F/AUTO,Capitol Hill,2019,1598
335,ROBBERY,Shaw,2019,1837
336,THEFT F/AUTO,Capitol Hill,2019,1598
337,THEFT F/AUTO,Dupont Circle,2019,1134
338,THEFT/OTHER,Shaw,2019,1837
339,THEFT F/AUTO,Dupont Circle,2019,1134
340,THEFT F/AUTO,Sixteenth Street Heights,2019,813
341,THEFT/OTHER,Columbia Heights,2019,1892
342,ROBBERY,Petworth,2019,501
343,THEFT/OTHER,Shaw,2019,1837
344,THEFT F/AUTO,Adams Morgan,2019,635
345,THEFT/OTHER,Capitol Hill,2019,1598
346,THEFT/OTHER,Shaw,2019,1837
347,THEFT/OTHER,Sixteenth Street Heights,2019,813
348,THEFT/OTHER,Shaw,2019,1837
349,THEFT F/AUTO,Sixteenth Street Heights,2019,813
350,THEFT F/AUTO,Columbia Heights,2019,1892
351,THEFT F/AUTO,Columbia Heights,2019,1892
352,BURGLARY,Sixteenth Street Heights,2019,813
353,THEFT F/AUTO,Adams Morgan,2019,635
354,THEFT F/AUTO,Adams Morgan,2019,635
355,THEFT F/AUTO,Columbia Heights,2019,1892
356,THEFT/OTHER,Dupont Circle,2019,1134
357,ROBBERY,Columbia Heights,2019,1892
358,THEFT/OTHER,Capitol Hill,2019,1598
359,THEFT F/AUTO,Adams Morgan,2019,635
360,THEFT/OTHER,Anacostia,2019,248
361,THEFT F/AUTO,Dupont Circle,2019,1134
362,THEFT/OTHER,Capitol Hill,2019,1598
363,ROBBERY,Petworth,2019,501
364,THEFT F/AUTO,Columbia Heights,2019,1892
365,THEFT/OTHER,Sixteenth Street Heights,2019,813
366,THEFT F/AUTO,Columbia Heights,2019,1892
367,BURGLARY,Shaw,2019,1837
368,ASSAULT W/DANGEROUS WEAPON,Anacostia,2019,248
369,MOTOR VEHICLE THEFT,Capitol Hill,2019,1598
370,BURGLARY,Shaw,2019,1837
371,THEFT F/AUTO,Columbia Heights,2019,1892
