,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
10638,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10639,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10640,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10641,BURGLARY,Cluster 7,Shaw,1,2021,524
10642,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10643,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
10644,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10645,ASSAULT W/DANGEROUS WEAPON,Cluster 3,Shaw,1,2021,469
10646,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10647,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10648,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10649,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10650,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10651,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10652,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
10653,BURGLARY,Cluster 3,Shaw,1,2021,524
10654,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
10655,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
10656,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
10657,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10658,ROBBERY,Cluster 3,Shaw,1,2021,775
10659,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10660,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10661,SEX ABUSE,Cluster 27,Navy Yard,1,2021,69
10662,ROBBERY,Cluster 18,Petworth,1,2021,775
10663,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10664,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
10665,MOTOR VEHICLE THEFT,Cluster 6,Dupont Circle,1,2021,1524
10666,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10667,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
10668,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10669,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10670,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
10671,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10672,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10673,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10674,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10675,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10676,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10677,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10678,ROBBERY,Cluster 28,Historic Anacostia,1,2021,775
10679,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
10680,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10681,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10682,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
10683,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10684,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10685,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
10686,ASSAULT W/DANGEROUS WEAPON,Cluster 28,Historic Anacostia,1,2021,469
10687,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10688,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10689,ROBBERY,Cluster 1,Adams Morgan,1,2021,775
10690,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10691,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10692,ROBBERY,Cluster 25,Union Station,1,2021,775
10693,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10694,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10695,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10696,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10697,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10698,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
10699,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10700,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
