,RegionName,State,City,EndMonth,MedianHomeValue
4506,Navy Yard,DC,Washington,2024-03-31,674861.3000878526
4514,NoMa,DC,Washington,2024-03-31,480954.59842844354
4526,Anacostia,DC,Washington,2024-03-31,393039.20044829906
4602,Columbia Heights,DC,Washington,2024-04-30,645270.3094804583
4603,Capitol Hill,DC,Washington,2024-04-30,911809.0444453644
4604,Petworth,DC,Washington,2024-04-30,679949.4209189509
4605,Adams Morgan,DC,Washington,2024-04-30,583166.1239880668
4613,Shaw,DC,Washington,2024-04-30,793128.6190881053
4624,Navy Yard,DC,Washington,2024-04-30,676913.4331503606
4632,NoMa,DC,Washington,2024-04-30,480178.15452157333
4644,Anacostia,DC,Washington,2024-04-30,393876.97409307613
4720,Columbia Heights,DC,Washington,2024-05-31,643357.8819
4721,Capitol Hill,DC,Washington,2024-05-31,910670.8446424037
4722,Petworth,DC,Washington,2024-05-31,679388.1554126982
4723,Adams Morgan,DC,Washington,2024-05-31,583306.0664140753
4731,Shaw,DC,Washington,2024-05-31,791712.1064237036
4742,Navy Yard,DC,Washington,2024-05-31,677049.2527510627
4750,NoMa,DC,Washington,2024-05-31,478563.0101101855
4762,Anacostia,DC,Washington,2024-05-31,393404.72020954825
4838,Columbia Heights,DC,Washington,2024-06-30,638786.0795289055
4839,Capitol Hill,DC,Washington,2024-06-30,906407.4781264308
4840,Petworth,DC,Washington,2024-06-30,675121.8824848764
4841,Adams Morgan,DC,Washington,2024-06-30,581452.2812087898
4849,Shaw,DC,Washington,2024-06-30,787088.6742
4860,Navy Yard,DC,Washington,2024-06-30,674911.1195937508
4868,NoMa,DC,Washington,2024-06-30,475619.6665536331
4880,Anacostia,DC,Washington,2024-06-30,390977.33808382106
4956,Columbia Heights,DC,Washington,2024-07-31,634370.1811893051
4957,Capitol Hill,DC,Washington,2024-07-31,902717.5462679212
4958,Petworth,DC,Washington,2024-07-31,669955.6067
4959,Adams Morgan,DC,Washington,2024-07-31,579612.3519042837
4967,Shaw,DC,Washington,2024-07-31,782104.7116048486
4978,Navy Yard,DC,Washington,2024-07-31,671694.2321818398
4986,NoMa,DC,Washington,2024-07-31,471933.75421399745
4998,Anacostia,DC,Washington,2024-07-31,388823.81612886133
5074,Columbia Heights,DC,Washington,2024-08-31,630870.528
5075,Capitol Hill,DC,Washington,2024-08-31,900470.6813
5076,Petworth,DC,Washington,2024-08-31,663863.0464575473
5077,Adams Morgan,DC,Washington,2024-08-31,578123.4101758766
5085,Shaw,DC,Washington,2024-08-31,778831.6347585294
5096,Navy Yard,DC,Washington,2024-08-31,669778.8035293672
5104,NoMa,DC,Washington,2024-08-31,467051.0484250298
5116,Anacostia,DC,Washington,2024-08-31,387161.9972912892
5192,Columbia Heights,DC,Washington,2024-09-30,630434.5351
5193,Capitol Hill,DC,Washington,2024-09-30,902069.7207974693
5194,Petworth,DC,Washington,2024-09-30,661105.8662794763
5195,Adams Morgan,DC,Washington,2024-09-30,579435.4862
5203,Shaw,DC,Washington,2024-09-30,779342.6871670164
5214,Navy Yard,DC,Washington,2024-09-30,670164.0517491727
5222,NoMa,DC,Washington,2024-09-30,463389.8601934401
5234,Anacostia,DC,Washington,2024-09-30,387542.5432908523
5310,Columbia Heights,DC,Washington,2024-10-31,630304.5918403639
5311,Capitol Hill,DC,Washington,2024-10-31,903311.5270144698
5312,Petworth,DC,Washington,2024-10-31,659101.1367115459
5313,Adams Morgan,DC,Washington,2024-10-31,581161.0599910951
5321,Shaw,DC,Washington,2024-10-31,779773.5785136297
5332,Navy Yard,DC,Washington,2024-10-31,669250.4733663871
5340,NoMa,DC,Washington,2024-10-31,461919.8458013448
5352,Anacostia,DC,Washington,2024-10-31,387563.3008
